,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
143,288,CHANGMO,3hvinNZRzTLoREmqFiKr1b,1,"['k-rap', 'korean r&b']",289157,changmo
91,168, CHANMINA,2vjeuQwzSP5ErC1S41gONX,0,"['j-rap', 'josei rap']",573301,chanmina
140,280, Charli XCX,25uiPmTg16RbhZWAqwLBy5,0,"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",2815117,charli xcx
125,241,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,0,"['dance pop', 'pop', 'viral pop']",19800459,charlie puth
54,102, CHEETAH,6ftZYkensUYXNiMM7nFwhE,0,['k-rap'],40874,cheetah
99,181,CHO PD,5kpASLmaTCY83YeHWs23Bc,0,[],4,cho pd
48,92, CHOI JUNG HOON of JANNABI,5Fa7oN67rqbrgxbRVux7F4,0,[],1595,choi jung hoon of jannabi
261,565, Chundung,52KEoFZCGGap8hZHtOgENt,0,[],34,chundung
273,589, CJANG MO,0hFTjU2H3Wali3BuPOLftF,0,[],0,cjang mo
256,554, Clon,3IvJqVgapy3AMUBmVGrvag,0,['classic k-pop'],6418,clon
467,1030, Coi Leray,6AMd49uBDJfhf30Ak2QR5s,0,"['new jersey underground rap', 'rap', 'trap queen', 'viral rap']",519849,coi leray
126,245,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0,"['permanent wave', 'pop']",42888082,coldplay
435,954, CORSAK,1TcbdifqhtxLz77unBYJ7z,0,['chinese electropop'],37783,corsak
167,361,Crayon Pop,0ODX6aegsZkBmBeMA5qqwi,1,"['k-pop', 'k-pop girl group']",153466,crayon pop
418,905, Crown J,14D73AR7J5qqIzJwplkcda,0,['koligeet'],39320,crown j
49,94, Crush,6aLdhHUqgdKE86xbtNmY8g,0,"['k-pop', 'korean r&b']",1113976,crush
235,495, D-LITE,1OQxmfKN9UG5C7nr4MkasO,0,[],137317,d-lite
69,128,DAE HYUN (B.A.P),1htPJUlogkZBjbKp86uuLF,0,[],6845,dae hyun (b.a.p)
250,534, DallasK,7uas0F5EhsZg6KDJ7yy7rW,0,"['complextro', 'electro house', 'pop edm']",44018,dallask
170,366,Dalshabet,10xsuRNvidaOLxWd3fRIel,1,"['k-pop', 'k-pop girl group']",171652,dalshabet
148,293, Damndef,4jFOzswJGUdE6LFx1ZbOjS,0,[],365,damndef
174,372,DAVICHI,4z6yrDz5GfKXkeQZjOaZdq,1,"['k-pop', 'korean pop']",715282,davichi
127,247, David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25744246,david guetta
211,451, David Kim,6fqoFU6NahjZYW1m5HBub1,0,[],277,david kim
508,1128, DEAN,3eCd0TZrBPm2n9cDG6yWfF,0,"['k-pop', 'korean r&b']",1321349,dean
188,414,December,6WiANXryTQJOTCM3z8jENM,1,['korean pop'],8657,december
406,878, Demicat,3Geym1qRlviofLxjf1L0BK,0,['korean electronic'],1048,demicat
142,286, Desiigner,7pFeBzX627ff0VnN6bxPR4,0,"['pop rap', 'rap', 'trap', 'underground hip hop', 'viral trap']",3460290,desiigner
5,9, Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,0,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",3334208,dimitri vegas & like mike
